year,Re,Com,Ind,Trans,Electric,Total,Road_len,AVG_T,Precipitation,Average retail price of electricity,Personal consumption expenditures, Goods,  Durable goods,   Motor vehicles and parts,   Furnishings and durable household equipment,   Recreational goods and vehicles,   Other durable goods,  Nondurable goods,   Food and beverages purchased for off-premises consumption,   Clothing and footwear,   Gasoline and other energy goods,   Other nondurable goods, Services,  Household consumption expenditures (for services),  Housing and utilities,  Health care,  Transportation services,  Recreation services,  Food services and accommodations,  Financial services and insurance,  Other services, Final consumption expenditures of nonprofit institutions serving households (NPISHs), Gross output of nonprofit institutions, Less: Receipts from sales of goods and services by nonprofit institutions,pop,gdp,PRICE_E,CLACD,CLCCD,CLICD,CLRCD
1974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2223,0,0,0.83,0.83,1.17,1.86
1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2285,0,0,1.07,1.07,1.39,1.82
1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2346,0,0,1.21,1.21,1.44,1.9
1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2425,0,0,1.31,1.31,1.9,2.01
1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2515,0,0,0,1.47,1.73,2.9
1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2636,0,0,0,1.56,1.73,2.76
1980,1.8,1.8,5.3,18.5,25.3,52.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2738,0,0,0,1.73,1.89,2.97
1981,1.6,1.7,6.5,18.7,31.1,59.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2810,0,0,0,1.98,2.03,3.71
1982,1.8,1.7,5.8,18.3,30.6,58.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2890,0,0,0,2.02,2.1,3.3
1983,1.8,1.6,5.7,18.5,26.3,53.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2969,0,0,0,1.93,1.97,3.56
1984,1.7,1.6,6.4,19.6,28.8,58.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3067,0,0,0,1.83,1.93,3.27
1985,1.8,1.7,5.7,20.5,31,60.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3184,0,0,0,1.86,1.95,3.19
1986,1.6,1.6,6.4,21.1,25.3,55.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3308,0,0,0,1.76,1.78,2.89
1987,1.8,1.9,3.5,21.9,27,56.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3437,0,0,0,1.63,1.68,2.88
1988,1.7,1.9,3.7,22.6,29.4,59.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3535,0,0,0,1.6,1.65,2.62
1989,1.7,1.9,4.2,22.6,34.8,65.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3622,0,0,0,1.65,1.71,2.64
1990,1.8,1.9,3.9,22.7,32.5,62.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3684,0,0,0,1.64,1.76,2.7
1991,1.9,1.8,4,23.3,32.8,63.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3789,0,0,0,1.64,1.74,2.81
1992,1.8,1.8,4,23.6,35.4,66.5,55969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3916,0,0,0,1.61,1.7,2.69
1993,1.7,1.7,4,24.9,36.6,69,55763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4065,0,0,0,1.59,1.7,2.73
1994,1.8,1.8,4.4,25.6,38.1,71.7,54380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4245,0,0,0,1.57,1.69,2.83
1995,1.7,1.8,4.7,26.1,32.4,66.7,54561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4432,0,0,0,1.59,1.72,2.61
1996,1.7,1.9,4.9,27.6,32.4,68.4,54895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4587,0,0,0,1.62,1.75,2.62
1997,1.8,2,5,27.6,35.1,71.6,55713,0,0,0,91060,35126,12675,5311,3056,2927,1381,22451,8130,3623,2941,7757,55934,55002,16708,11337,3576,3383,6740,6604,6654,931,6409,5478,4737,163114,0,0,1.63,1.76,2.72
1998,2.2,2.3,4.7,29.8,37.6,76.5,52969,0,0,0,97963,37230,14075,5866,3388,3301,1521,23155,8458,3748,2647,8301,60732,59686,17905,12003,3959,3753,7163,7370,7533,1046,7162,6116,4883,177319,0,0,1.59,1.69,2.81
1999,2.1,2.2,4.8,31.5,39.8,80.4,55193,71,0.6,0,106158,40881,15485,6464,3636,3698,1686,25396,9158,4004,2957,9277,65276,64012,19060,12748,4342,4140,7706,8138,7877,1265,7682,6417,5024,192410,0,0,1.6,1.63,2.77
2000,2.1,2.2,4.8,32.3,44.7,86.1,55193,71.5,0.6,0,115586,44773,17163,6892,4079,4328,1864,27610,9426,4301,3713,10170,70813,69370,20558,13819,4671,4311,8326,9168,8516,1444,8195,6751,5161,202215,0,0,1.52,1.57,2.87
2001,2.2,2.1,4.9,33.3,46,88.4,55246,71.2,0.6,7.27,121250,46514,17761,7374,4207,4316,1864,28752,9922,4400,3530,10900,74736,73145,22178,15120,4691,4542,8456,9007,9151,1591,8787,7196,5273,206560,7.27,0,1.6,1.66,3.31
2002,2.2,2.2,4.3,34.2,45,87.8,57165,71.7,0.4,7.21,127569,48485,18712,7652,4467,4603,1989,29773,10294,4594,3211,11673,79084,77358,23138,16925,4694,4754,8813,9310,9725,1727,9486,7760,5396,212195,7.21,0,1.67,1.73,2.72
2003,2.1,2,4.1,35.2,46.1,89.6,57529,72.9,0.9,7.34,135905,51928,19638,7888,4707,4871,2171,32291,11021,4846,3750,12674,83976,82356,24134,18583,4830,5102,9426,9864,10416,1621,10124,8504,5510,224650,7.34,0,1.67,1.71,3.17
2004,2.2,2,4.6,36,51.7,96.6,58113,71,1,7.45,148652,57633,21723,8434,5380,5487,2422,35910,12268,5223,4386,14033,91018,89110,25756,20254,5069,5617,10408,10921,11085,1908,11312,9404,5652,232105,7.45,0,1.89,2.02,3.26
2005,2.1,2,5,36.7,50.8,96.7,59790,72.3,0.9,7.79,163859,64445,23908,9065,6174,6005,2664,40538,13570,5720,5622,15626,99414,97884,27966,22592,5525,6048,11684,12428,11642,1529,11965,10436,5839,251185,7.79,0,2.53,2.76,4.61
2006,2.2,2,5.1,37.9,52.7,99.9,60374,72.7,0.6,8.24,179491,70783,25826,9273,6726,6731,3096,44956,14776,6161,6474,17546,108709,106403,30560,24100,5998,6830,12805,13528,12582,2306,13384,11078,6029,265798,8.24,0,2.76,3.02,5.63
2007,2.3,2.1,4.9,37.4,55.2,101.9,60593,73.7,0.5,8.54,191312,74248,25922,9418,6393,6759,3352,48326,15801,6391,7320,18814,117064,114112,32893,25856,6243,7418,13810,14460,13432,2951,14772,11821,6168,272417,8.54,0,3.04,3.25,4.51
2008,2.4,2.4,5.5,34.4,57.6,102.3,60439,72.3,0.8,9.11,193589,72375,22552,7174,5654,6428,3297,49823,16503,6251,8007,19063,121214,117878,34936,27617,6019,7327,13721,14345,13914,3336,15608,12272,6280,262521,9.11,0,0,3.72,0
2009,2.2,2.2,4.2,32.3,52.5,93.4,60439,73,0.3,9.56,187937,66788,19671,6071,4826,5637,3137,47117,16061,6057,5693,19306,121149,118149,36819,28730,5298,7021,13065,13140,14076,3000,15801,12800,6343,242509,9.56,0,0,4.26,0
