Year,Re,Com,Ind,Trans,Electric,Total,Road_len,AVG_T,Precipitation,Average retail price of electricity,Personal consumption expenditures, Goods,  Durable goods,   Motor vehicles and parts,   Furnishings and durable household equipment,   Recreational goods and vehicles,   Other durable goods,  Nondurable goods,   Food and beverages purchased for off-premises consumption,   Clothing and footwear,   Gasoline and other energy goods,   Other nondurable goods, Services,  Household consumption expenditures (for services),  Housing and utilities,  Health care,  Transportation services,  Recreation services,  Food services and accommodations,  Financial services and insurance,  Other services, Final consumption expenditures of nonprofit institutions serving households (NPISHs), Gross output of nonprofit institutions, Less: Receipts from sales of goods and services by nonprofit institutions,gdp,pop,PRICE_E,CLACD,CLCCD,CLICD,CLRCD
1982,13.3,14.5,148.3,133.8,151.1,461.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15331,0,0,1.68,1.72,3.18
1983,13.1,19,146,133,155.8,467.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15752,0,0,0,1.71,0
1984,13.9,13.9,164.5,138.5,161.9,492.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16007,0,0,0,1.77,0
1985,13.3,12.7,162.7,143.3,166.6,498.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16273,0,0,1.6,1.64,2.83
1986,12.2,11.3,162.2,146.9,163.6,496.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16561,0,0,1.51,1.51,2.78
1987,13.2,12.5,167.3,143.6,165.5,502.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16622,0,0,1.27,1.27,2.4
1988,13,12.9,185.8,151.4,171.8,534.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16667,0,0,1.31,1.31,2.12
1989,14.1,12.9,191.2,152.1,184.6,554.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16807,0,0,1.27,1.27,2.43
1990,13,11.8,205.3,152.5,182.5,565.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17057,0,0,1.14,1.14,2.41
1991,13.1,11.9,203.9,149.5,181.7,560.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17398,0,0,1.24,1.24,2.36
1992,12.7,12.1,202.6,153.1,179.4,559.9,293317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17760,0,0,1.27,1.27,2.43
1993,13.5,10.8,205.4,152,196.2,577.8,294142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18162,0,0,1.16,1.16,2.16
1994,12.6,11.2,207.4,155.6,190,576.9,294491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18564,0,0,1.26,1.26,2.25
1995,12.1,13,212.7,153.4,190.3,581.5,296186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18959,0,0,0,1.25,0
1996,13.1,11.2,233.8,165.9,200.8,624.9,296259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19340,0,0,0,1.24,0
1997,13.6,13.2,248.9,170.3,205.4,651.4,296651,0,0,0,374650,142946,53017,24855,10994,11070,6098,89929,32612,18018,10977,28322,231704,226648,67785,50853,13487,13440,24044,29198,27841,5056,28333,23277,816575,19740,0,0,1.29,1.29,2.14
1998,12.1,11.2,239.2,179.5,214.7,656.6,296581,0,0,0,404061,152216,59079,28006,12006,12506,6561,93137,33574,18928,9860,30775,251845,245610,71758,54495,14772,14836,25687,32422,31640,6235,31306,25071,866952,20158,0,0,1.48,1.48,2.1
1999,11.7,11.4,213.6,177.9,218.8,633.3,301034,"51,4",0.3,0,435047,166198,65446,31124,13546,13672,7104,100751,35885,19858,10858,34151,268850,261627,75331,56555,16081,16485,27390,35651,34135,7223,33536,26313,900960,20558,0,0,1.48,1.48,2.05
2000,12.9,13.7,221.3,182.1,227.6,657.6,301034,52.8,0.4,0,474657,180128,70801,33511,14816,14718,7756,109327,37772,20898,13945,36712,294529,285837,81312,60516,17703,18224,29965,40082,38035,8692,36803,28111,930610,20944,0,0,1.26,1.26,2.13
2001,14,11.8,217,189.8,218.9,651.5,300766,51.7,0.3,7.38,502730,187399,73587,36129,15075,14881,7502,113812,39784,20835,14013,39181,315331,305227,88079,67586,17728,19357,30902,40098,41477,10104,40409,30306,954786,21320,7.38,0,1.38,1.38,2.25
2002,13.9,14.3,211.7,196.4,225.3,661.6,301777,51.8,0.3,6.62,520514,191554,75740,36807,15819,15454,7660,115815,40165,20861,13138,41650,328959,317537,90568,74672,17082,20334,31745,40112,43024,11422,44472,33050,968721,21690,6.62,0,1.27,1.27,2.43
2003,13.4,14.2,212.9,189.9,225.2,655.5,301989,53,0.3,7.5,544468,198906,76258,36018,15809,16198,8233,122648,42084,21492,15279,43793,345563,333058,95357,78844,16917,20981,33541,42046,45373,12504,48635,36131,976634,22031,7.5,0,1.28,1.28,2.24
2004,12.1,11.9,209,192.3,224.3,649.6,303176,51.1,0.3,7.95,577577,212287,80469,36213,16946,18371,8939,131818,45077,21970,18495,46277,365290,352656,101017,83837,17130,22102,36058,45177,47336,12634,51852,39218,1023202,22394,7.95,0,1.42,1.42,2.12
2005,12,10.6,167.1,193.7,228.8,612.2,304171,52.4,0.4,9.14,622235,232493,85660,36737,18513,20541,9869,146832,48310,23851,25116,49556,389743,377813,108873,89328,17823,22935,38965,50627,49261,11930,55076,43146,1047014,22778,9.14,0,1.54,1.54,2.45
2006,10.5,9.7,175.3,201,226.9,623.4,305272,52.2,0.5,10.34,662922,246212,90521,36886,19934,22313,11388,155691,51286,25776,25099,53530,416710,403640,116555,94298,18780,24727,42303,54146,52832,13070,58709,45638,1111803,23360,10.34,0,1.89,1.89,3.73
2007,12.5,10.1,165.1,202.8,229.5,620,305854,52.2,0.4,10.11,699533,261041,96165,39187,21076,23287,12616,164876,54277,26663,28219,55717,438492,425759,120307,100649,19591,26608,44778,58024,55804,12732,61073,48340,1166680,23832,10.11,0,2.47,2.47,2.94
2008,12,10.8,140,195,227.2,585,306404,51.9,0.36,10.99,727824,265499,90885,34104,20833,23308,12640,174615,57734,26452,31383,59045,462325,447137,124490,107648,20256,27824,47196,60848,58875,15188,65034,49846,1173697,24309,10.99,0,2.99,2.79,0
2009,11.7,11.1,124,186.8,216.5,550.1,306404,0,0,9.86,722534,254137,84668,31483,19551,21269,12365,169468,58313,26314,23662,61180,468398,453015,127201,114329,19019,28164,47941,55827,60535,15382,68063,52680,1166516,24802,9.86,0,4.39,3.9,0
